Designator,Footprint,Quantity,Value,LCSC Part #
11,LCDPADS_LEFT1,1,~,
"21, 31, M1, M2",Bez názvu,4,~,
"A1, A2, A3, A4",Pololu_Breakout-16_15.2x20.3mm,4,Pololu_Breakout_A4988,
"C1, C10, C11, C13, C14, C15, C17, C3, C4, C6, C7, C9",0805,12,100nF,
"C12, C16, C2, C5, C8",C_Elec_6.3x7.7,5,100uF,
D1,D_DO-15_P10.16mm_Horizontal,1,SS14,
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D58, D59, D6, D60, D61, D62, D63, D7, D8, D9",LED_PLCC_2835_Handsoldering,61,LED,
J1,BarrelJack_Horizontal,1,12V,
"Q1, Q2",SOT-23_Handsoldering,2,AO3400A,
"R1, R2",0805,2,"4,7k",
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R5, R50, R51, R52, R53, R54, R55, R57, R58, R6, R60, R62, R63, R64, R65, R66, R67, R68, R7, R8, R9",0805,61,561,
"R3, R56",0805,2,10k,
"R4, R59",0805,2,331,
"SW1, SW2",Bez názvu,2,SW_Push,
U1,PCFCHIP,1,PCF8576CT_1_118,"PCF8576CT/1,118"
U2,ESP32-DevKitC,1,ESP32-DevKitC,
U3,LCDPADS_RIGHT1,1,~,
"U4, U5, U6",SOIC127P600X175-16N,3,TPIC6C595DG4,
U7,DIP-14_W7.62mm,1,SN74HCT125DR,
