Designator,Mid X,Mid Y,Rotation,Layer
11,64.955,-67.62,0.0,top
21,163.475,-77.625,90.0,top
31,-11.575,-76.875,90.0,top
A1,178.605,-55.48,180.0,bottom
A2,6.855,-13.425,0.0,bottom
A3,109.57,-13.91,0.0,top
A4,-69.895,-56.85,180.0,top
C1,148.51,-20.11,180.0,bottom
C10,63.33,-25.19,180.0,bottom
C11,99.1,-5.58,90.0,bottom
C12,178.355,-32.34,0.0,bottom
C13,-51.845,-49.34,90.0,bottom
C14,146.73,-31.54,90.0,bottom
C15,-59.62,-64.39,270.0,bottom
C16,-57.57,-49.9775,90.0,bottom
C17,177.405,-26.79,0.0,bottom
C2,-10.245,-13.0025,90.0,bottom
C3,-4.545,-11.79,90.0,bottom
C4,12.94,-54.66,270.0,bottom
C5,106.07,-30.08,0.0,bottom
C6,24.48,-31.565,90.0,bottom
C7,168.455,-62.94,270.0,bottom
C8,18.38,-28.14,180.0,bottom
C9,105.9,-37.99,0.0,bottom
D1,-15.29,-4.64,0.0,bottom
D10,-62.62,-71.54,90.0,top
D11,123.93,-61.54,90.0,top
D12,110.48,-42.24,90.0,top
D13,130.755,-20.465,90.0,top
D14,74.045,-53.24,0.0,top
D15,160.655,-20.09,90.0,top
D16,180.28,-42.615,90.0,top
D17,166.955,-62.075,90.0,top
D18,145.03,-89.465,90.0,top
D19,132.055,-89.64,90.0,top
D2,145.18,-31.89,90.0,top
D20,167.48,-47.64,90.0,top
D21,-29.92,-58.44,0.0,top
D22,31.505,-12.69,90.0,top
D23,159.255,-35.69,90.0,top
D24,75.63,-13.29,90.0,top
D25,85.105,-13.19,90.0,top
D26,41.33,-41.19,0.0,top
D27,145.505,-58.89,0.0,top
D28,-29.85,-47.12,0.0,top
D29,-7.645,-61.265,90.0,top
D3,-16.645,-88.89,90.0,top
D30,-42.845,-88.84,90.0,top
D31,44.13,-2.94,90.0,top
D32,74.68,-41.44,0.0,top
D33,89.53,-2.915,90.0,top
D34,158.58,-89.34,90.0,top
D35,145.505,-49.765,0.0,top
D36,112.38,-72.29,90.0,top
D37,178.43,-72.215,90.0,top
D38,-15.82,-34.99,90.0,top
D39,3.23,-71.59,90.0,top
D4,-29.87,-88.84,90.0,top
D40,52.33,-53.215,0.0,top
D41,40.155,-12.665,90.0,top
D42,63.545,-53.34,0.0,top
D43,-14.47,-19.615,90.0,top
D44,-51.295,-61.14,90.0,top
D45,26.38,-2.79,90.0,top
D46,52.12,-41.265,0.0,top
D47,71.605,-2.915,90.0,top
D48,63.905,-41.04,0.0,top
D49,-27.145,-30.09,90.0,top
D5,131.73,-35.54,90.0,top
D50,8.88,1.01,90.0,top
D51,-31.56,-30.11,90.0,top
D52,4.4,1.01,90.0,top
D53,-53.795,-46.915,90.0,top
D54,-40.92,-34.69,90.0,top
D55,-49.48,-46.59,90.0,top
D56,-45.49,-34.675,90.0,top
D58,60.255,-22.04,90.0,top
D59,111.73,0.55,90.0,top
D6,5.305,-42.45,90.0,top
D60,56.23,-22.1,90.0,top
D61,107.62,0.47,90.0,top
D62,43.42,-53.69,90.0,top
D63,40.03,-53.74,270.0,top
D7,-44.195,-19.34,90.0,top
D8,123.73,-47.665,90.0,top
D9,-64.545,-41.79,90.0,top
J1,-28.52,-7.765,180.0,bottom
M1,58.99,4.33,180.0,top
M2,57.27,-32.01,0.0,top
Q1,27.58,-48.415,90.0,bottom
Q2,37.03,-60.14,270.0,top
R1,154.855,-19.69,90.0,bottom
R10,-45.095,-14.39,0.0,top
R11,118.03,-47.605,90.0,top
R12,-65.4825,-36.29,0.0,top
R13,-58.295,-70.54,180.0,top
R14,116.055,-60.54,0.0,top
